Name,Count
spoiled,107
exploit,107
drought,106
troubled,106
unruly,105
unhappy,105
sticky,105
suffers,105
din,105
grief,104
showdown,104
chilly,104
dusty,104
stern,103
bleeding,103
rubbish,103
destruction,103
coward,103
vicious,102
paranoid,102
oppose,102
midget,102
moron,102
absence,102
threatening,102
forbidden,101
stiff,101
unrest,101
torrent,101
sickness,101
strain,101
filthy,100
suspicion,100
wrinkle,100
petty,100
corrupt,100
anxious,99
uncomfortable,99
fuzzy,99
foe,98
pinch,98
mistress,98
ripped,98
scar,97
reckless,97
crashing,97
slump,97
dire,97
misunderstood,96
shiver,96
tyranny,96
discrimination,95
restriction,95
frustrating,95
sweaty,94
tortured,94
desperately,94
damaged,94
uninsured,92
friggin,92
frenzy,92
damned,92
irony,92
furious,92
louder,91
outbreak,91
insecure,91
bothered,91
lure,91
frost,91
accuses,91
disrespect,90
sarcasm,90
aggressive,90
interrupt,89
embarrassing,89
static,89
fatty,89
greed,89
dripping,88
faint,88
murderer,88
doom,88
hoax,88
pillage,88
rogue,88
vulnerable,88
parody,87
protesting,87
refusing,87
rejection,86
glare,86
outrage,86
downturn,85
boredom,85
tragic,85
sorrow,85
stab,85
pity,85
sneaky,84
resignation,84
whine,84
allergic,84
plight,83
numb,83
meltdown,82
overrated,82
accusation,81
dizzy,81
pimple,81
infamous,81
worthless,81
brat,81
vent,81
glitch,81
goofy,80
smut,80
sarcastic,80
sob,80
rivalry,80
extremist,80
itch,80
troublemaker,79
obstacle,79
temper,79
smelling,78
accuse,78
peril,78
confrontation,78
moan,77
crushing,77
terribly,77
runaway,77
embarrassment,77
depressing,77
clueless,77
mania,77
fragile,77
hassle,77
bankrupt,77
bogus,77
haze,76
plague,76
cocky,76
spooky,76
vomit,76
vain,76
costly,76
puppet,76
jealousy,75
prejudice,75
hedge,75
risky,75
denying,74
breakup,74
notorious,74
retard,74
lacking,74
misery,74
flee,73
hazard,73
resentment,73
spite,73
disappointing,72
foolish,72
disappointment,72
bias,72
overwhelming,72
boil,72
lone,72
outrageous,71
tense,71
guilt,71
sloppy,71
criticize,71
maniac,71
strangely,70
flake,70
stall,70
shabby,70
rotten,70
absurd,69
fanatic,69
shady,69
chore,68
whining,68
hypocrisy,68
tout,68
blur,68
disrespectful,68
inevitable,68
fiasco,67
breach,67
needy,67
crooked,67
immature,67
gripe,67
injustice,67
condemn,67
resigned,67
mistaken,66
expired,66
cuss,66
growl,66
fury,66
spade,66
abused,65
imaginary,65
biased,65
condemns,65
wrath,65
fooled,65
craziness,65
phony,65
erase,64
massacre,64
drowning,64
unexplained,64
doomed,64
queer,64
raging,64
unnecessary,64
mindless,63
poorly,63
ruining,63
distortion,63
sadness,62
snag,62
idle,62
questionable,62
lag,62
swipe,62
vague,61
tortuous,61
ax,61
rhetoric,61
infected,61
outburst,61
slaughter,61
grumpy,61
bore,61
slower,61
limp,61
overwhelmed,60
hooligan,60
underestimate,60
lousy,60
humming,60
cramp,60
bait,60
lapse,60
shaky,60
indifference,60
crude,59
sinking,59
hollow,59
uncertain,59
disgusted,59
genocide,59
craze,58
exhaust,58
epidemic,58
hypocrite,58
cruelty,58
bothering,58
noisy,58
junky,58
bruise,58
snub,58
hectic,58
oversight,57
stereotype,57
liability,57
stressful,57
unfortunate,57
bashing,57
bleed,57
punish,57
raping,57
strut,57
snare,56
perverted,56
irrelevant,56
shameless,56
disgust,56
flare,56
neglected,56
hopeless,56
mourner,56
catastrophe,55
pricey,55
stumble,55
dim,55
underdog,55
limitation,55
shallow,55
dissident,55
setback,55
skeptical,55
fearful,55
fudge,55
cheesy,55
tyrant,55
stubborn,54
negativity,54
inappropriate,54
assassin,54
blasted,54
wary,54
utterly,54
illegally,54
hustler,54
pervert,54
stumbled,54
arrogant,54
lengthy,54
annoy,53
traitor,53
pest,53
condemned,53
misunderstanding,53
grim,53
ridiculously,53
jeopardy,52
haunt,52
odor,52
sharply,52
bugging,51
blurry,51
exile,51
cursed,51
undermine,51
tumble,51
disturbed,51
contagious,51
delusional,51
swagger,51
irritated,50
rust,50
jolt,50
mourn,50
lethal,50
annoys,50
swollen,50
fugitive,50
prick,50
audacity,50
dent,49
humid,49
smelly,49
meaningless,49
demise,49
implication,49
adversity,49
picky,49
revolt,49
stew,49
disappoint,48
flair,48
suicidal,48
unreasonable,48
dissent,48
bullying,48
misleading,48
mediocre,48
devastating,48
harmful,48
rift,48
lunatic,48
stormy,48
strict,47
malicious,47
tricky,47
stun,47
aching,47
mashed,47
accidental,47
smelled,47
neglect,47
unacceptable,47
boiling,47
deficiency,47
despair,47
hostile,47
indifferent,46
starve,46
casualty,46
loophole,46
obese,46
dragged,46
tardy,46
tantrum,46
set-up,46
havoc,46
darker,46
unjust,46
offend,46
dragging,46
overturn,46
fallout,46
lurk,46
procrastination,45
unsure,45
bruised,45
deception,45
stingy,45
trauma,45
payback,45
paranoia,45
blasphemy,45
restrict,45
buckle,45
distract,45
thirst,45
cranky,44
overweight,44
fascist,44
childish,44
accusing,44
tramp,44
battered,44
harassment,44
restless,44
doubtful,44
